X = 25.82    Z = 168.36  
X = 25.76    Z = 168.35  
X = 25.705   Z = 168.345 
X = 25.64    Z = 168.315 
X = 25.58    Z = 168.285 
X = 25.52    Z = 168.275 
X = 25.46    Z = 168.265 
X = 25.4     Z = 168.265 
X = 25.35    Z = 168.335 
X = 25.3     Z = 168.415 
X = 25.25    Z = 168.475 
X = 25.2     Z = 168.53  
X = 25.14    Z = 168.54  
X = 25.08    Z = 168.495 
X = 25.02    Z = 168.5   
X = 24.965   Z = 168.515 
X = 24.905   Z = 168.51  
X = 24.85    Z = 168.54  
X = 24.795   Z = 168.58  
X = 24.74    Z = 168.585 
X = 24.68    Z = 168.605 
X = 24.585   Z = 168.26  
X = 24.52    Z = 168.23  
X = 24.465   Z = 168.26  
X = 24.415   Z = 168.325 
X = 24.365   Z = 168.4   
X = 24.32    Z = 168.51  
X = 24.275   Z = 168.62  
X = 24.22    Z = 168.68  
X = 24.165   Z = 168.69  
X = 24.11    Z = 168.73  
X = 24.055   Z = 168.755 
X = 23.995   Z = 168.755 
X = 23.94    Z = 168.77  
X = 23.885   Z = 168.785 
X = 23.82    Z = 168.755 
X = 23.755   Z = 168.695 
X = 23.69    Z = 168.645 
X = 23.64    Z = 168.68  
X = 23.59    Z = 168.77  
X = 23.54    Z = 168.85  
X = 23.485   Z = 168.9   
X = 23.43    Z = 168.925 
X = 23.375   Z = 168.955 
X = 23.315   Z = 168.96  
X = 23.255   Z = 168.945 
X = 23.19    Z = 168.89  
X = 23.125   Z = 168.805 
X = 23.06    Z = 168.77  
X = 23.005   Z = 168.79  
X = 22.95    Z = 168.84  
X = 22.9     Z = 168.91  
X = 22.85    Z = 168.97  
X = 22.795   Z = 169.035 
X = 22.745   Z = 169.09  
X = 22.68    Z = 169.04  
X = 22.61    Z = 168.915 
X = 22.55    Z = 168.92  
X = 22.5     Z = 168.98  
X = 22.445   Z = 169.035 
X = 22.39    Z = 169.065 
X = 22.33    Z = 169.085 
X = 22.275   Z = 169.08  
X = 22.21    Z = 169.045 
X = 22.15    Z = 169.03  
X = 22.095   Z = 169.055 
X = 22.04    Z = 169.095 
X = 21.985   Z = 169.115 
X = 21.925   Z = 169.105 
X = 21.865   Z = 169.09  
X = 21.805   Z = 169.115 
X = 21.75    Z = 169.155 
X = 21.695   Z = 169.145 
X = 21.635   Z = 169.135 
X = 21.575   Z = 169.14  
X = 21.51    Z = 169.1   
X = 21.45    Z = 169.06  
X = 21.39    Z = 169.05  
X = 21.33    Z = 169.05  
X = 21.275   Z = 169.055 
X = 21.215   Z = 169.05  
X = 21.155   Z = 169.035 
X = 21.095   Z = 169.055 
X = 21.04    Z = 169.07  
X = 20.985   Z = 169.085 
X = 20.93    Z = 169.16  
X = 20.88    Z = 169.22  
X = 20.82    Z = 169.225 
X = 20.765   Z = 169.25  
X = 20.71    Z = 169.275 
X = 20.645   Z = 169.255 
X = 20.585   Z = 169.235 
X = 20.53    Z = 169.26  
X = 20.475   Z = 169.3   
X = 20.42    Z = 169.35  
X = 20.365   Z = 169.4   
X = 20.31    Z = 169.41  
X = 20.25    Z = 169.4   
X = 20.185   Z = 169.365 
X = 20.125   Z = 169.345 
X = 20.07    Z = 169.375 
X = 20.015   Z = 169.44  
X = 19.965   Z = 169.5   
X = 19.91    Z = 169.53  
X = 19.845   Z = 169.495 
X = 19.775   Z = 169.385 
X = 19.71    Z = 169.275 
X = 19.645   Z = 169.19  
X = 19.585   Z = 169.195 
X = 19.53    Z = 169.235 
X = 19.475   Z = 169.29  
X = 19.42    Z = 169.345 
X = 19.36    Z = 169.335 
X = 19.3     Z = 169.315 
X = 19.24    Z = 169.295 
X = 19.18    Z = 169.295 
X = 19.125   Z = 169.325 
X = 19.075   Z = 169.405 
X = 19.025   Z = 169.495 
X = 18.965   Z = 169.52  
X = 18.91    Z = 169.525 
X = 18.85    Z = 169.53  
X = 18.79    Z = 169.53  
X = 18.73    Z = 169.505 
X = 18.67    Z = 169.49  
X = 18.61    Z = 169.505 
X = 18.555   Z = 169.525 
X = 18.495   Z = 169.515 
X = 18.435   Z = 169.52  
X = 18.38    Z = 169.54  
X = 18.32    Z = 169.55  
X = 18.26    Z = 169.56  
X = 18.205   Z = 169.59  
X = 18.15    Z = 169.605 
X = 18.09    Z = 169.615 
X = 18.035   Z = 169.66  
X = 17.98    Z = 169.71  
X = 17.905   Z = 169.535 
X = 17.845   Z = 169.525 
X = 17.795   Z = 169.61  
X = 17.74    Z = 169.67  
X = 17.69    Z = 169.755 
X = 17.63    Z = 169.77  
X = 17.575   Z = 169.805 
X = 17.515   Z = 169.815 
X = 17.455   Z = 169.775 
X = 17.39    Z = 169.73  
X = 17.33    Z = 169.715 
X = 17.275   Z = 169.75  
X = 17.22    Z = 169.81  
X = 17.165   Z = 169.87  
X = 17.11    Z = 169.9   
X = 17.045   Z = 169.86  
X = 16.98    Z = 169.785 
X = 16.92    Z = 169.735 
X = 16.855   Z = 169.695 
X = 16.8     Z = 169.695 
X = 16.74    Z = 169.73  
X = 16.685   Z = 169.765 
X = 16.63    Z = 169.8   
X = 16.57    Z = 169.835 
X = 16.515   Z = 169.85  
X = 16.455   Z = 169.845 
X = 16.395   Z = 169.83  
X = 16.335   Z = 169.8   
X = 16.27    Z = 169.775 
X = 16.215   Z = 169.78  
X = 16.16    Z = 169.82  
X = 16.105   Z = 169.9   
X = 16.05    Z = 169.955 
X = 15.99    Z = 169.98  
X = 15.935   Z = 170.03  
X = 15.88    Z = 170.035 
X = 15.82    Z = 170.02  
X = 15.76    Z = 170.055 
X = 15.705   Z = 170.11  
X = 15.65    Z = 170.15  
X = 15.59    Z = 170.17  
X = 15.53    Z = 170.155 
X = 15.47    Z = 170.11  
X = 15.41    Z = 170.08  
X = 15.345   Z = 170.04  
X = 15.285   Z = 170.005 
X = 15.23    Z = 170.055 
X = 15.18    Z = 170.16  
X = 15.12    Z = 170.19  
X = 15.055   Z = 170.14  
X = 14.995   Z = 170.12  
X = 14.94    Z = 170.14  
X = 14.88    Z = 170.165 
X = 14.825   Z = 170.18  
X = 14.765   Z = 170.18  
X = 14.705   Z = 170.205 
X = 14.65    Z = 170.265 
X = 14.595   Z = 170.305 
X = 14.535   Z = 170.315 
X = 14.48    Z = 170.32  
X = 14.42    Z = 170.33  
X = 14.36    Z = 170.325 
X = 14.3     Z = 170.275 
X = 14.235   Z = 170.225 
X = 14.18    Z = 170.255 
X = 14.12    Z = 170.275 
X = 14.06    Z = 170.265 
X = 14       Z = 170.275 
X = 13.94    Z = 170.26  
X = 13.88    Z = 170.255 
X = 13.825   Z = 170.26  
X = 13.765   Z = 170.26  
X = 13.705   Z = 170.275 
X = 13.645   Z = 170.29  
X = 13.585   Z = 170.28  
X = 13.525   Z = 170.265 
X = 13.47    Z = 170.265 
X = 13.41    Z = 170.3   
X = 13.355   Z = 170.34  
X = 13.295   Z = 170.38  
X = 13.24    Z = 170.43  
X = 13.185   Z = 170.45  
X = 13.125   Z = 170.46  
X = 13.065   Z = 170.475 
X = 13.005   Z = 170.49  
X = 12.95    Z = 170.51  
X = 12.89    Z = 170.525 
X = 12.83    Z = 170.505 
X = 12.77    Z = 170.5   
X = 12.71    Z = 170.525 
X = 12.655   Z = 170.53  
X = 12.595   Z = 170.53  
X = 12.535   Z = 170.535 
X = 12.475   Z = 170.57  
X = 12.42    Z = 170.62  
X = 12.365   Z = 170.645 
X = 12.305   Z = 170.685 
X = 12.245   Z = 170.69  
X = 12.185   Z = 170.655 
X = 12.125   Z = 170.625 
X = 12.065   Z = 170.625 
X = 12.005   Z = 170.65  
X = 11.95    Z = 170.665 
X = 11.89    Z = 170.68  
X = 11.83    Z = 170.7   
X = 11.77    Z = 170.7   
X = 11.71    Z = 170.67  
X = 11.65    Z = 170.665 
X = 11.59    Z = 170.68  
X = 11.535   Z = 170.69  
X = 11.475   Z = 170.7   
X = 11.415   Z = 170.675 
X = 11.355   Z = 170.64  
X = 11.295   Z = 170.66  
X = 11.235   Z = 170.665 
X = 11.175   Z = 170.665 
X = 11.12    Z = 170.705 
X = 11.06    Z = 170.74  
X = 11       Z = 170.75  
X = 10.945   Z = 170.76  
X = 10.885   Z = 170.755 
X = 10.825   Z = 170.74  
X = 10.765   Z = 170.755 
X = 10.705   Z = 170.78  
X = 10.65    Z = 170.815 
X = 10.59    Z = 170.85  
X = 10.535   Z = 170.865 
X = 10.475   Z = 170.88  
X = 10.415   Z = 170.905 
X = 10.355   Z = 170.905 
X = 10.295   Z = 170.89  
X = 10.235   Z = 170.9   
X = 10.18    Z = 170.93  
X = 10.12    Z = 170.955 
X = 10.06    Z = 170.965 
X = 10.005   Z = 170.985 
X = 9.94     Z = 170.96  
X = 9.88     Z = 170.9   
X = 9.82     Z = 170.89  
X = 9.76     Z = 170.905 
X = 9.705    Z = 170.925 
X = 9.645    Z = 170.945 
X = 9.585    Z = 170.965 
X = 9.525    Z = 170.99  
X = 9.465    Z = 170.995 
X = 9.405    Z = 170.975 
X = 9.345    Z = 170.935 
X = 9.285    Z = 170.885 
X = 9.225    Z = 170.88  
