X = 25.81    Z = 168.26  
X = 25.75    Z = 168.275 
X = 25.69    Z = 168.245 
X = 25.625   Z = 168.185 
X = 25.56    Z = 168.12  
X = 25.495   Z = 168.095 
X = 25.44    Z = 168.11  
X = 25.39    Z = 168.16  
X = 25.34    Z = 168.22  
X = 25.28    Z = 168.235 
X = 25.22    Z = 168.22  
X = 25.165   Z = 168.225 
X = 25.105   Z = 168.24  
X = 25.05    Z = 168.26  
X = 24.99    Z = 168.25  
X = 24.93    Z = 168.245 
X = 24.875   Z = 168.265 
X = 24.82    Z = 168.28  
X = 24.76    Z = 168.28  
X = 24.705   Z = 168.295 
X = 24.65    Z = 168.34  
X = 24.6     Z = 168.395 
X = 24.545   Z = 168.435 
X = 24.475   Z = 168.33  
X = 24.42    Z = 168.365 
X = 24.345   Z = 168.22  
X = 24.285   Z = 168.21  
X = 24.23    Z = 168.22  
X = 24.175   Z = 168.275 
X = 24.12    Z = 168.3   
X = 24.06    Z = 168.29  
X = 24.01    Z = 168.345 
X = 23.98    Z = 168.615 
X = 23.905   Z = 168.45  
X = 23.84    Z = 168.395 
X = 23.78    Z = 168.375 
X = 23.725   Z = 168.395 
X = 23.665   Z = 168.405 
X = 23.605   Z = 168.365 
X = 23.55    Z = 168.41  
X = 23.505   Z = 168.52  
X = 23.455   Z = 168.63  
X = 23.405   Z = 168.705 
X = 23.35    Z = 168.75  
X = 23.295   Z = 168.77  
X = 23.24    Z = 168.815 
X = 23.185   Z = 168.815 
X = 23.12    Z = 168.79  
X = 23.06    Z = 168.77  
X = 23       Z = 168.755 
X = 22.94    Z = 168.72  
X = 22.88    Z = 168.7   
X = 22.82    Z = 168.715 
X = 22.76    Z = 168.7   
X = 22.705   Z = 168.72  
X = 22.65    Z = 168.77  
X = 22.595   Z = 168.795 
X = 22.53    Z = 168.745 
X = 22.465   Z = 168.675 
X = 22.405   Z = 168.63  
X = 22.345   Z = 168.635 
X = 22.285   Z = 168.645 
X = 22.23    Z = 168.665 
X = 22.18    Z = 168.725 
X = 22.125   Z = 168.785 
X = 22.07    Z = 168.82  
X = 22.015   Z = 168.845 
X = 21.955   Z = 168.855 
X = 21.9     Z = 168.865 
X = 21.845   Z = 168.905 
X = 21.79    Z = 168.93  
X = 21.73    Z = 168.935 
X = 21.675   Z = 168.975 
X = 21.62    Z = 169.01  
X = 21.555   Z = 168.955 
X = 21.49    Z = 168.865 
X = 21.425   Z = 168.79  
X = 21.37    Z = 168.84  
X = 21.335   Z = 169.055 
X = 21.275   Z = 169.065 
X = 21.215   Z = 169.055 
X = 21.155   Z = 169.06  
X = 21.1     Z = 169.105 
X = 21.045   Z = 169.135 
X = 20.99    Z = 169.14  
X = 20.93    Z = 169.135 
X = 20.865   Z = 169.07  
X = 20.8     Z = 169     
X = 20.74    Z = 168.97  
X = 20.68    Z = 168.98  
X = 20.625   Z = 169     
X = 20.565   Z = 169.005 
X = 20.505   Z = 169.005 
X = 20.45    Z = 169.03  
X = 20.395   Z = 169.075 
X = 20.34    Z = 169.11  
X = 20.28    Z = 169.12  
X = 20.22    Z = 169.075 
X = 20.16    Z = 169.07  
X = 20.105   Z = 169.13  
X = 20.05    Z = 169.18  
X = 19.995   Z = 169.19  
X = 19.935   Z = 169.2   
X = 19.88    Z = 169.205 
X = 19.82    Z = 169.2   
X = 19.765   Z = 169.22  
X = 19.71    Z = 169.265 
X = 19.65    Z = 169.275 
X = 19.59    Z = 169.27  
X = 19.535   Z = 169.275 
X = 19.475   Z = 169.29  
X = 19.42    Z = 169.315 
X = 19.36    Z = 169.34  
X = 19.305   Z = 169.36  
X = 19.245   Z = 169.36  
X = 19.185   Z = 169.35  
X = 19.125   Z = 169.34  
X = 19.07    Z = 169.34  
X = 19.01    Z = 169.365 
X = 18.955   Z = 169.4   
X = 18.9     Z = 169.43  
X = 18.835   Z = 169.365 
X = 18.77    Z = 169.295 
X = 18.71    Z = 169.25  
X = 18.655   Z = 169.29  
X = 18.595   Z = 169.335 
X = 18.54    Z = 169.37  
X = 18.48    Z = 169.335 
X = 18.415   Z = 169.25  
X = 18.355   Z = 169.255 
X = 18.3     Z = 169.325 
X = 18.245   Z = 169.36  
X = 18.19    Z = 169.38  
X = 18.135   Z = 169.435 
X = 18.08    Z = 169.475 
X = 18.02    Z = 169.485 
X = 17.96    Z = 169.48  
X = 17.9     Z = 169.475 
X = 17.845   Z = 169.495 
X = 17.785   Z = 169.515 
X = 17.73    Z = 169.515 
X = 17.665   Z = 169.495 
X = 17.605   Z = 169.46  
X = 17.545   Z = 169.435 
X = 17.485   Z = 169.43  
X = 17.43    Z = 169.45  
X = 17.37    Z = 169.495 
X = 17.315   Z = 169.52  
X = 17.26    Z = 169.54  
X = 17.2     Z = 169.56  
X = 17.14    Z = 169.57  
X = 17.085   Z = 169.595 
X = 17.03    Z = 169.655 
X = 16.98    Z = 169.735 
X = 16.925   Z = 169.775 
X = 16.865   Z = 169.785 
X = 16.805   Z = 169.795 
X = 16.75    Z = 169.815 
X = 16.69    Z = 169.82  
X = 16.63    Z = 169.8   
X = 16.57    Z = 169.785 
X = 16.51    Z = 169.8   
X = 16.45    Z = 169.805 
X = 16.395   Z = 169.8   
X = 16.34    Z = 169.845 
X = 16.28    Z = 169.895 
X = 16.22    Z = 169.885 
X = 16.16    Z = 169.85  
X = 16.095   Z = 169.775 
X = 16.03    Z = 169.705 
X = 15.97    Z = 169.69  
X = 15.91    Z = 169.675 
X = 15.85    Z = 169.665 
X = 15.795   Z = 169.7   
X = 15.74    Z = 169.73  
X = 15.675   Z = 169.7   
X = 15.615   Z = 169.66  
X = 15.555   Z = 169.66  
X = 15.5     Z = 169.725 
X = 15.45    Z = 169.835 
X = 15.395   Z = 169.885 
X = 15.335   Z = 169.9   
X = 15.28    Z = 169.93  
X = 15.22    Z = 169.935 
X = 15.16    Z = 169.935 
X = 15.105   Z = 169.97  
X = 15.05    Z = 169.995 
X = 14.985   Z = 169.975 
X = 14.925   Z = 169.935 
X = 14.865   Z = 169.92  
X = 14.805   Z = 169.94  
X = 14.75    Z = 169.975 
X = 14.695   Z = 170.02  
X = 14.64    Z = 170.08  
X = 14.58    Z = 170.095 
X = 14.52    Z = 170.07  
X = 14.46    Z = 170.025 
X = 14.395   Z = 169.99  
X = 14.34    Z = 169.985 
X = 14.28    Z = 169.975 
X = 14.22    Z = 170     
X = 14.165   Z = 170.025 
X = 14.105   Z = 170.01  
X = 14.045   Z = 170     
X = 13.99    Z = 170.05  
X = 13.93    Z = 170.105 
X = 13.875   Z = 170.125 
X = 13.815   Z = 170.14  
X = 13.755   Z = 170.155 
X = 13.7     Z = 170.17  
X = 13.64    Z = 170.195 
X = 13.585   Z = 170.215 
X = 13.525   Z = 170.22  
X = 13.465   Z = 170.235 
X = 13.41    Z = 170.255 
X = 13.35    Z = 170.265 
X = 13.29    Z = 170.285 
X = 13.235   Z = 170.31  
X = 13.175   Z = 170.29  
X = 13.11    Z = 170.24  
X = 13.05    Z = 170.245 
X = 12.995   Z = 170.3   
X = 12.94    Z = 170.355 
X = 12.88    Z = 170.385 
X = 12.825   Z = 170.385 
X = 12.76    Z = 170.345 
X = 12.7     Z = 170.29  
X = 12.64    Z = 170.26  
X = 12.58    Z = 170.26  
X = 12.52    Z = 170.25  
X = 12.46    Z = 170.26  
X = 12.4     Z = 170.26  
X = 12.34    Z = 170.23  
X = 12.28    Z = 170.235 
X = 12.225   Z = 170.285 
X = 12.165   Z = 170.32  
X = 12.11    Z = 170.345 
X = 12.05    Z = 170.36  
X = 11.99    Z = 170.37  
X = 11.935   Z = 170.395 
X = 11.875   Z = 170.415 
X = 11.815   Z = 170.415 
X = 11.755   Z = 170.415 
X = 11.7     Z = 170.435 
X = 11.64    Z = 170.46  
X = 11.58    Z = 170.46  
X = 11.52    Z = 170.445 
X = 11.465   Z = 170.475 
X = 11.405   Z = 170.53  
X = 11.35    Z = 170.58  
X = 11.29    Z = 170.61  
X = 11.235   Z = 170.61  
X = 11.175   Z = 170.595 
X = 11.115   Z = 170.605 
X = 11.055   Z = 170.615 
X = 10.995   Z = 170.625 
X = 10.935   Z = 170.62  
X = 10.875   Z = 170.585 
X = 10.815   Z = 170.555 
X = 10.76    Z = 170.59  
X = 10.7     Z = 170.645 
X = 10.64    Z = 170.665 
X = 10.585   Z = 170.66  
X = 10.52    Z = 170.62  
X = 10.46    Z = 170.6   
X = 10.4     Z = 170.62  
X = 10.345   Z = 170.635 
X = 10.285   Z = 170.635 
X = 10.225   Z = 170.645 
X = 10.165   Z = 170.66  
X = 10.11    Z = 170.69  
X = 10.05    Z = 170.705 
X = 9.99     Z = 170.67  
X = 9.93     Z = 170.66  
X = 9.87     Z = 170.69  
X = 9.815    Z = 170.735 
X = 9.755    Z = 170.765 
X = 9.695    Z = 170.725 
X = 9.635    Z = 170.7   
X = 9.575    Z = 170.74  
X = 9.52     Z = 170.77  
X = 9.46     Z = 170.785 
X = 9.4      Z = 170.81  
X = 9.34     Z = 170.84  
X = 9.285    Z = 170.87  
X = 9.225    Z = 170.905 
X = 9.165    Z = 170.95  
X = 9.11     Z = 170.985 
X = 9.05     Z = 170.965 
X = 8.99     Z = 170.935 
X = 8.93     Z = 170.965 
X = 8.87     Z = 170.985 
X = 8.81     Z = 171.015 
X = 8.755    Z = 171.055 
X = 8.695    Z = 171.07  
X = 8.63     Z = 171.05  
X = 8.57     Z = 171.015 
X = 8.51     Z = 170.96  
X = 8.45     Z = 170.975 
X = 8.395    Z = 171.025 
X = 8.335    Z = 171.035 
X = 8.275    Z = 171.015 
X = 8.215    Z = 171.025 
X = 8.155    Z = 171.065 
X = 8.1      Z = 171.115 
X = 8.04     Z = 171.14  
X = 7.98     Z = 171.14  
X = 7.915    Z = 171.1   
X = 7.855    Z = 171.085 
X = 7.8      Z = 171.085 
X = 7.735    Z = 171.055 
X = 7.675    Z = 171.055 
X = 7.615    Z = 171.075 
X = 7.555    Z = 171.055 
X = 7.495    Z = 171.035 
X = 7.435    Z = 171.03  
X = 7.375    Z = 171.04  
X = 7.32     Z = 171.06  
X = 7.26     Z = 171.085 
X = 7.2      Z = 171.135 
X = 7.14     Z = 171.2   
X = 7.085    Z = 171.215 
X = 7.025    Z = 171.205 
X = 6.965    Z = 171.19  
X = 6.905    Z = 171.185 
X = 6.845    Z = 171.2   
X = 6.785    Z = 171.235 
X = 6.725    Z = 171.285 
X = 6.67     Z = 171.335 
X = 6.61     Z = 171.345 
X = 6.55     Z = 171.34  
X = 6.49     Z = 171.345 
X = 6.43     Z = 171.35  
X = 6.37     Z = 171.375 
X = 6.31     Z = 171.4   
X = 6.25     Z = 171.38  
X = 6.19     Z = 171.38  
X = 6.13     Z = 171.44  
X = 6.07     Z = 171.48  
X = 6.015    Z = 171.505 
X = 5.955    Z = 171.55  
X = 5.895    Z = 171.59  
X = 5.835    Z = 171.59  
X = 5.775    Z = 171.555 
X = 5.715    Z = 171.555 
X = 5.655    Z = 171.565 
X = 5.595    Z = 171.55  
X = 5.535    Z = 171.56  
X = 5.475    Z = 171.6   
X = 5.415    Z = 171.625 
X = 5.355    Z = 171.65  
X = 5.295    Z = 171.635 
X = 5.235    Z = 171.61  
X = 5.175    Z = 171.655 
X = 5.12     Z = 171.675 
X = 5.055    Z = 171.615 
X = 4.995    Z = 171.61  
X = 4.94     Z = 171.705 
X = 4.88     Z = 171.73  
X = 4.82     Z = 171.76  
X = 4.76     Z = 171.795 
X = 4.7      Z = 171.76  
X = 4.64     Z = 171.7   
X = 4.58     Z = 171.685 
X = 4.52     Z = 171.65  
X = 4.46     Z = 171.63  
X = 4.405    Z = 171.765 
X = 4.35     Z = 171.93  
X = 4.29     Z = 171.975 
X = 7.76     Z = 0       
X = 7.635    Z = 0       
X = 7.51     Z = 0       
X = 7.39     Z = 0       
X = 7.265    Z = 0       
X = 7.14     Z = 0       
X = 3.585    Z = 152.125 
X = 3.535    Z = 152.225 
X = 3.48     Z = 152.27  
X = 3.43     Z = 152.305 
X = 3.375    Z = 152.365 
X = 3.32     Z = 152.36  
X = 3.265    Z = 152.295 
X = 3.215    Z = 152.23  
X = 3.16     Z = 152.215 
X = 3.105    Z = 152.21  
X = 3.05     Z = 152.225 
X = 3        Z = 152.235 
X = 2.945    Z = 152.215 
X = 2.89     Z = 152.18  
X = 2.84     Z = 152.17  
X = 2.785    Z = 152.205 
X = 2.73     Z = 152.25  
X = 2.68     Z = 152.285 
X = 2.625    Z = 152.3   
X = 2.575    Z = 152.29  
X = 2.52     Z = 152.29  
X = 2.465    Z = 152.31  
X = 2.415    Z = 152.33  
X = 2.36     Z = 152.35  
X = 2.305    Z = 152.345 
X = 2.25     Z = 152.315 
X = 2.2      Z = 152.31  
X = 2.145    Z = 152.305 
X = 2.09     Z = 152.305 
X = 2.04     Z = 152.33  
X = 1.985    Z = 152.37  
X = 1.93     Z = 152.41  
X = 1.88     Z = 152.44  
X = 1.825    Z = 152.475 
X = 1.775    Z = 152.49  
X = 1.72     Z = 152.47  
X = 1.665    Z = 152.445 
X = 1.61     Z = 152.47  
X = 1.56     Z = 152.48  
X = 1.505    Z = 152.465 
X = 1.45     Z = 152.465 
X = 1.4      Z = 152.49  
X = 1.345    Z = 152.485 
X = 1.29     Z = 152.48  
X = 1.24     Z = 152.485 
X = 1.185    Z = 152.515 
X = 1.13     Z = 152.555 
X = 1.08     Z = 152.565 
X = 1.025    Z = 152.535 
X = 0.97     Z = 152.55  
X = 0.915    Z = 152.58  
X = 0.865    Z = 152.585 
X = 0.81     Z = 152.62  
X = 0.755    Z = 152.65  
X = 0.705    Z = 152.66  
X = 0.65     Z = 152.68  
X = 0.595    Z = 152.7   
X = 0.545    Z = 152.69  
X = 0.49     Z = 152.655 
X = 0.435    Z = 152.65  
X = 0.38     Z = 152.665 
X = 0.33     Z = 152.675 
X = 0.275    Z = 152.69  
X = 0.22     Z = 152.705 
X = 0.17     Z = 152.69  
X = 0.115    Z = 152.655 
X = 0.06     Z = 152.64  
X = 0.005    Z = 152.67  
X = -0.045   Z = 152.705 
X = -0.1     Z = 152.745 
X = -0.155   Z = 152.77  
X = -0.21    Z = 152.77  
X = -0.26    Z = 152.785 
X = -0.315   Z = 152.8   
X = -0.37    Z = 152.8   
X = -0.425   Z = 152.79  
X = -0.475   Z = 152.81  
X = -0.53    Z = 152.845 
X = -0.585   Z = 152.85  
X = -0.635   Z = 152.835 
X = -0.69    Z = 152.83  
X = -0.745   Z = 152.845 
X = -0.8     Z = 152.86  
X = -0.85    Z = 152.835 
X = -0.905   Z = 152.82  
X = -0.96    Z = 152.86  
X = -1.015   Z = 152.92  
X = -1.065   Z = 152.93  
X = -1.12    Z = 152.91  
X = -1.175   Z = 152.935 
X = -1.23    Z = 152.94  
X = -1.28    Z = 152.92  
X = -1.335   Z = 152.92  
X = -1.39    Z = 152.93  
X = -1.445   Z = 152.925 
X = -1.495   Z = 152.92  
X = -1.55    Z = 152.94  
X = -1.605   Z = 152.915 
X = -1.655   Z = 152.87  
X = -1.71    Z = 152.9   
X = -1.765   Z = 152.945 
X = -1.82    Z = 152.965 
X = -1.875   Z = 153.01  
X = -1.93    Z = 153.04  
X = -1.98    Z = 153.06  
X = -2.035   Z = 153.045 
X = -2.09    Z = 153.005 
X = -2.14    Z = 152.98  
X = -2.195   Z = 152.975 
X = -2.25    Z = 152.96  
X = -2.305   Z = 153     
X = -2.36    Z = 153.055 
X = -2.41    Z = 153.085 
X = -2.465   Z = 153.095 
X = -2.52    Z = 153.12  
X = -2.575   Z = 153.135 
X = -2.63    Z = 153.145 
X = -2.68    Z = 153.15  
X = -2.735   Z = 153.14  
X = -2.79    Z = 153.13  
X = -2.845   Z = 153.14  
X = -2.895   Z = 153.135 
X = -2.95    Z = 153.14  
X = -3.005   Z = 153.18  
X = -3.06    Z = 153.21  
X = -3.115   Z = 153.23  
X = -3.17    Z = 153.26  
X = -3.22    Z = 153.265 
X = -3.275   Z = 153.265 
X = -3.33    Z = 153.225 
X = -3.38    Z = 153.165 
X = -3.435   Z = 153.15  
X = -3.49    Z = 153.155 
X = -3.545   Z = 153.155 
X = -3.6     Z = 153.22  
X = -3.655   Z = 153.3   
X = -3.71    Z = 153.325 
X = -3.76    Z = 153.325 
X = -3.815   Z = 153.315 
X = -3.87    Z = 153.315 
X = -3.925   Z = 153.345 
X = -3.98    Z = 153.32  
X = -4.03    Z = 153.25  
X = -4.085   Z = 153.23  
X = -4.14    Z = 153.29  
X = -4.195   Z = 153.375 
X = -4.25    Z = 153.405 
X = -4.305   Z = 153.385 
X = -4.355   Z = 153.365 
X = -4.41    Z = 153.355 
X = -4.465   Z = 153.37  
X = -4.52    Z = 153.385 
X = -4.575   Z = 153.39  
X = -4.63    Z = 153.42  
X = -4.685   Z = 153.42  
X = -4.74    Z = 153.43  
X = -4.795   Z = 153.46  
X = -4.845   Z = 153.455 
X = -4.9     Z = 153.445 
X = -4.955   Z = 153.455 
X = -5.01    Z = 153.505 
X = -5.065   Z = 153.565 
X = -5.12    Z = 153.58  
X = -5.175   Z = 153.56  
X = -5.23    Z = 153.53  
X = -5.285   Z = 153.515 
X = -5.335   Z = 153.505 
X = -5.39    Z = 153.52  
X = -5.445   Z = 153.555 
X = -5.5     Z = 153.565 
X = -5.555   Z = 153.58  
X = -5.61    Z = 153.6   
X = -5.665   Z = 153.57  
X = -5.72    Z = 153.565 
X = -5.775   Z = 153.6   
X = -5.83    Z = 153.635 
X = -5.885   Z = 153.665 
X = -5.94    Z = 153.74  
X = -5.995   Z = 153.775 
X = -6.05    Z = 153.715 
X = -6.1     Z = 153.61  
X = -6.155   Z = 153.57  
X = -6.205   Z = 153.55  
X = -6.26    Z = 153.575 
X = -6.315   Z = 153.625 
X = -6.375   Z = 153.66  
X = -6.425   Z = 153.655 
X = -6.48    Z = 153.655 
X = -6.535   Z = 153.66  
X = -6.59    Z = 153.695 
X = -6.65    Z = 153.75  
X = -6.705   Z = 153.79  
X = -6.76    Z = 153.805 
X = -6.81    Z = 153.795 
X = -6.865   Z = 153.75  
X = -6.92    Z = 153.72  
X = -6.975   Z = 153.715 
X = -7.03    Z = 153.775 
X = -7.085   Z = 153.825 
X = -7.14    Z = 153.8   
X = -7.195   Z = 153.765 
