X = 33.87    Z = 233.725 
X = 33.795   Z = 233.745 
X = 33.725   Z = 233.785 
X = 33.645   Z = 233.79  
X = 33.565   Z = 233.75  
X = 33.485   Z = 233.745 
X = 33.415   Z = 233.79  
X = 33.345   Z = 233.845 
X = 33.265   Z = 233.845 
X = 33.18    Z = 233.77  
X = 33.09    Z = 233.67  
X = 33.005   Z = 233.615 
X = 32.925   Z = 233.585 
X = 32.845   Z = 233.585 
X = 32.78    Z = 233.665 
X = 32.715   Z = 233.765 
X = 32.645   Z = 233.825 
X = 32.575   Z = 233.895 
X = 32.505   Z = 233.955 
X = 32.42    Z = 233.89  
X = 32.325   Z = 233.77  
X = 32.24    Z = 233.705 
X = 32.165   Z = 233.715 
X = 32.105   Z = 233.845 
X = 32.04    Z = 233.955 
X = 31.965   Z = 233.96  
X = 31.885   Z = 233.94  
X = 31.8     Z = 233.895 
X = 31.715   Z = 233.845 
X = 31.635   Z = 233.815 
X = 31.56    Z = 233.825 
X = 31.49    Z = 233.905 
X = 31.425   Z = 233.98  
X = 31.35    Z = 234.005 
X = 31.27    Z = 233.985 
X = 31.185   Z = 233.92  
X = 31.1     Z = 233.87  
X = 31.02    Z = 233.85  
X = 30.935   Z = 233.785 
X = 30.845   Z = 233.67  
X = 30.765   Z = 233.68  
X = 30.705   Z = 233.825 
X = 30.64    Z = 233.905 
X = 30.565   Z = 233.91  
X = 30.485   Z = 233.92  
X = 30.41    Z = 233.915 
X = 30.325   Z = 233.88  
X = 30.25    Z = 233.895 
X = 30.185   Z = 233.985 
X = 30.105   Z = 233.98  
X = 30.03    Z = 233.99  
X = 29.955   Z = 234.025 
X = 29.875   Z = 234.01  
X = 29.795   Z = 233.965 
X = 29.71    Z = 233.915 
X = 29.63    Z = 233.89  
X = 29.555   Z = 233.93  
X = 29.48    Z = 233.925 
X = 29.395   Z = 233.86  
X = 29.31    Z = 233.78  
X = 29.23    Z = 233.77  
X = 29.155   Z = 233.81  
X = 29.08    Z = 233.835 
X = 29.005   Z = 233.84  
X = 28.93    Z = 233.875 
X = 28.855   Z = 233.91  
X = 28.785   Z = 233.96  
X = 28.71    Z = 233.975 
X = 28.625   Z = 233.93  
X = 28.55    Z = 233.92  
X = 28.47    Z = 233.915 
X = 28.395   Z = 233.935 
X = 28.325   Z = 234.015 
X = 28.255   Z = 234.06  
X = 28.17    Z = 234.005 
X = 28.08    Z = 233.915 
X = 28       Z = 233.845 
X = 27.915   Z = 233.81  
X = 27.84    Z = 233.835 
X = 27.77    Z = 233.89  
X = 27.7     Z = 233.95  
X = 27.62    Z = 233.955 
X = 27.54    Z = 233.9   
X = 27.465   Z = 233.94  
X = 27.4     Z = 234.055 
X = 27.33    Z = 234.14  
X = 27.255   Z = 234.155 
X = 27.175   Z = 234.155 
X = 27.1     Z = 234.16  
X = 27.015   Z = 234.07  
X = 26.92    Z = 233.945 
X = 26.84    Z = 233.875 
X = 26.76    Z = 233.86  
X = 26.685   Z = 233.895 
X = 26.615   Z = 233.945 
X = 26.535   Z = 233.925 
X = 26.45    Z = 233.885 
X = 26.38    Z = 233.935 
X = 26.315   Z = 234.065 
X = 26.245   Z = 234.165 
X = 26.165   Z = 234.105 
X = 26.075   Z = 233.975 
X = 25.99    Z = 233.91  
X = 25.915   Z = 233.965 
X = 25.855   Z = 234.115 
X = 25.785   Z = 234.21  
X = 25.705   Z = 234.16  
X = 25.615   Z = 234.03  
X = 25.525   Z = 233.915 
X = 25.445   Z = 233.88  
X = 25.37    Z = 233.92  
X = 25.295   Z = 233.965 
X = 25.22    Z = 233.965 
X = 25.14    Z = 233.945 
X = 25.06    Z = 233.895 
X = 24.97    Z = 233.815 
X = 24.89    Z = 233.75  
X = 24.815   Z = 233.785 
X = 24.755   Z = 233.955 
X = 24.69    Z = 234.105 
X = 24.61    Z = 234.12  
X = 24.53    Z = 234.035 
X = 24.445   Z = 233.94  
X = 24.365   Z = 233.925 
X = 24.295   Z = 233.985 
X = 24.22    Z = 234.02  
X = 24.14    Z = 233.955 
X = 24.055   Z = 233.9   
X = 23.985   Z = 233.935 
X = 23.915   Z = 234.01  
X = 23.84    Z = 234.05  
X = 23.76    Z = 234.025 
X = 23.685   Z = 234.025 
X = 23.615   Z = 234.075 
X = 23.535   Z = 234.065 
X = 23.455   Z = 234.03  
X = 23.375   Z = 234     
X = 23.3     Z = 234.025 
X = 23.23    Z = 234.08  
X = 23.155   Z = 234.085 
X = 23.075   Z = 234.065 
X = 23       Z = 234.08  
X = 22.925   Z = 234.11  
X = 22.855   Z = 234.145 
X = 22.78    Z = 234.17  
X = 22.7     Z = 234.16  
X = 22.62    Z = 234.095 
X = 22.535   Z = 234.015 
X = 22.455   Z = 233.945 
X = 22.38    Z = 233.96  
X = 22.31    Z = 234.045 
X = 22.235   Z = 234.105 
X = 22.155   Z = 234.06  
X = 22.075   Z = 233.975 
X = 21.995   Z = 233.97  
X = 21.925   Z = 234.06  
X = 21.855   Z = 234.14  
X = 21.78    Z = 234.15  
X = 21.705   Z = 234.15  
X = 21.63    Z = 234.15  
X = 21.55    Z = 234.125 
X = 21.47    Z = 234.075 
X = 21.39    Z = 234.07  
X = 21.315   Z = 234.095 
X = 21.245   Z = 234.13  
X = 21.165   Z = 234.145 
X = 21.095   Z = 234.19  
X = 21.015   Z = 234.18  
X = 20.945   Z = 234.225 
X = 20.87    Z = 234.235 
X = 20.785   Z = 234.195 
X = 20.71    Z = 234.195 
X = 20.635   Z = 234.225 
X = 20.56    Z = 234.215 
X = 20.48    Z = 234.14  
X = 20.395   Z = 234.06  
X = 20.315   Z = 234.03  
X = 20.24    Z = 234.075 
X = 20.17    Z = 234.14  
X = 20.095   Z = 234.165 
X = 20.02    Z = 234.195 
X = 19.945   Z = 234.215 
X = 19.87    Z = 234.205 
X = 19.79    Z = 234.185 
X = 19.71    Z = 234.145 
X = 19.635   Z = 234.135 
X = 19.56    Z = 234.17  
X = 19.485   Z = 234.185 
X = 19.41    Z = 234.2   
X = 19.33    Z = 234.17  
X = 19.25    Z = 234.145 
X = 19.17    Z = 234.1   
X = 19.095   Z = 234.095 
X = 19.025   Z = 234.175 
X = 18.95    Z = 234.205 
X = 18.87    Z = 234.19  
X = 18.795   Z = 234.22  
X = 18.72    Z = 234.215 
X = 18.645   Z = 234.26  
X = 18.575   Z = 234.31  
X = 18.495   Z = 234.27  
X = 18.415   Z = 234.24  
X = 18.34    Z = 234.27  
X = 18.265   Z = 234.33  
X = 18.195   Z = 234.41  
X = 18.12    Z = 234.5   
X = 18.045   Z = 234.525 
X = 17.965   Z = 234.45  
X = 17.88    Z = 234.36  
X = 17.805   Z = 234.405 
X = 17.73    Z = 234.435 
X = 17.65    Z = 234.43  
X = 17.575   Z = 234.445 
X = 17.5     Z = 234.48  
X = 17.425   Z = 234.53  
X = 17.35    Z = 234.55  
X = 17.275   Z = 234.635 
X = 17.2     Z = 234.64  
X = 17.125   Z = 234.65  
X = 17.045   Z = 234.615 
X = 16.96    Z = 234.57  
X = 16.885   Z = 234.595 
X = 16.81    Z = 234.62  
X = 16.73    Z = 234.59  
X = 16.65    Z = 234.565 
X = 16.575   Z = 234.565 
X = 16.495   Z = 234.55  
X = 16.415   Z = 234.52  
X = 16.335   Z = 234.465 
X = 16.255   Z = 234.4   
X = 16.175   Z = 234.385 
X = 16.11    Z = 234.605 
X = 16.05    Z = 234.87  
X = 15.97    Z = 234.88  
X = 15.885   Z = 234.75  
X = 15.795   Z = 234.555 
X = 15.71    Z = 234.375 
X = 15.615   Z = 234.145 
X = 15.54    Z = 234.12  
X = 15.46    Z = 234.095 
X = 15.38    Z = 234.11  
X = 15.305   Z = 234.16  
X = 15.23    Z = 234.17  
X = 15.15    Z = 234.145 
X = 15.07    Z = 234.09  
X = 14.99    Z = 234.055 
X = 14.91    Z = 234.035 
X = 14.835   Z = 234.025 
X = 14.755   Z = 234.02  
X = 14.68    Z = 233.99  
X = 14.6     Z = 233.96  
X = 14.52    Z = 233.935 
X = 14.445   Z = 233.94  
X = 14.37    Z = 233.99  
X = 14.295   Z = 234.105 
X = 14.215   Z = 234.035 
X = 14.14    Z = 234.08  
X = 14.065   Z = 234.11  
X = 13.985   Z = 234.085 
X = 13.915   Z = 234.225 
X = 13.835   Z = 234.225 
X = 13.75    Z = 234.03  
X = 13.675   Z = 234.05  
X = 13.6     Z = 234.075 
X = 13.52    Z = 234.09  
X = 13.445   Z = 234.11  
X = 13.365   Z = 234.12  
X = 13.29    Z = 234.085 
X = 13.21    Z = 234.08  
X = 13.135   Z = 234.135 
X = 13.06    Z = 234.2   
X = 12.985   Z = 234.215 
X = 12.905   Z = 234.19  
X = 12.825   Z = 234.165 
X = 12.75    Z = 234.175 
X = 12.675   Z = 234.2   
X = 12.6     Z = 234.29  
X = 12.53    Z = 234.42  
X = 12.455   Z = 234.49  
X = 12.38    Z = 234.525 
X = 12.3     Z = 234.55  
X = 12.225   Z = 234.56  
X = 12.15    Z = 234.59  
X = 12.07    Z = 234.595 
X = 11.995   Z = 234.585 
X = 11.915   Z = 234.555 
X = 11.835   Z = 234.515 
X = 11.76    Z = 234.56  
X = 11.685   Z = 234.61  
X = 11.605   Z = 234.555 
X = 11.53    Z = 234.58  
X = 11.455   Z = 234.685 
X = 11.385   Z = 234.765 
X = 11.305   Z = 234.785 
X = 11.23    Z = 234.78  
X = 11.15    Z = 234.705 
X = 11.07    Z = 234.62  
X = 10.99    Z = 234.61  
X = 10.915   Z = 234.65  
X = 10.84    Z = 234.745 
X = 10.765   Z = 234.845 
X = 10.69    Z = 234.85  
X = 10.61    Z = 234.755 
