X = 33.66    Z = 267.885 
X = 33.59    Z = 267.84  
X = 33.52    Z = 267.785 
X = 33.445   Z = 267.765 
X = 33.37    Z = 267.74  
X = 33.3     Z = 267.675 
X = 33.225   Z = 267.66  
X = 33.15    Z = 267.685 
X = 33.075   Z = 267.665 
X = 33.005   Z = 267.615 
X = 32.925   Z = 267.6   
X = 32.85    Z = 267.615 
X = 32.775   Z = 267.585 
X = 32.705   Z = 267.54  
X = 32.62    Z = 267.585 
X = 32.54    Z = 267.615 
X = 32.47    Z = 267.565 
X = 32.4     Z = 267.52  
X = 32.315   Z = 267.56  
X = 32.235   Z = 267.585 
X = 32.165   Z = 267.54  
X = 32.1     Z = 267.44  
X = 32.035   Z = 267.35  
X = 31.96    Z = 267.315 
X = 31.89    Z = 267.27  
X = 31.825   Z = 267.155 
X = 31.75    Z = 267.135 
X = 31.665   Z = 267.195 
X = 31.58    Z = 267.28  
X = 31.505   Z = 267.26  
X = 31.435   Z = 267.185 
X = 31.365   Z = 267.14  
X = 31.29    Z = 267.135 
X = 31.21    Z = 267.14  
X = 31.13    Z = 267.175 
X = 31.045   Z = 267.22  
X = 30.975   Z = 267.195 
X = 30.9     Z = 267.15  
X = 30.83    Z = 267.125 
X = 30.76    Z = 267.06  
X = 30.685   Z = 267.025 
X = 30.61    Z = 267.01  
X = 30.53    Z = 267.015 
X = 30.46    Z = 266.975 
X = 30.385   Z = 266.945 
X = 30.31    Z = 266.905 
X = 30.235   Z = 266.895 
X = 30.155   Z = 266.91  
X = 30.08    Z = 266.905 
X = 30.005   Z = 266.88  
X = 29.925   Z = 266.905 
X = 29.84    Z = 267     
X = 29.75    Z = 267.105 
X = 29.675   Z = 267.09  
X = 29.61    Z = 266.99  
X = 29.54    Z = 266.92  
X = 29.465   Z = 266.895 
X = 29.395   Z = 266.84  
X = 29.325   Z = 266.78  
X = 29.25    Z = 266.74  
X = 29.175   Z = 266.71  
X = 29.1     Z = 266.71  
X = 29.015   Z = 266.745 
X = 28.93    Z = 266.825 
X = 28.85    Z = 266.87  
X = 28.78    Z = 266.805 
X = 28.705   Z = 266.77  
X = 28.63    Z = 266.77  
X = 28.55    Z = 266.755 
X = 28.475   Z = 266.765 
X = 28.405   Z = 266.66  
X = 28.35    Z = 266.48  
X = 28.28    Z = 266.415 
X = 28.2     Z = 266.44  
X = 28.12    Z = 266.46  
X = 28.04    Z = 266.495 
X = 27.96    Z = 266.495 
X = 27.885   Z = 266.47  
X = 27.81    Z = 266.485 
X = 27.73    Z = 266.47  
X = 27.66    Z = 266.43  
X = 27.58    Z = 266.445 
X = 27.5     Z = 266.465 
X = 27.425   Z = 266.455 
X = 27.35    Z = 266.43  
X = 27.275   Z = 266.39  
X = 27.205   Z = 266.325 
X = 27.13    Z = 266.315 
X = 27.05    Z = 266.33  
X = 26.98    Z = 266.245 
X = 26.915   Z = 266.145 
X = 26.835   Z = 266.13  
X = 26.755   Z = 266.19  
X = 26.665   Z = 266.285 
X = 26.58    Z = 266.365 
X = 26.5     Z = 266.375 
X = 26.435   Z = 266.29  
X = 26.36    Z = 266.25  
X = 26.28    Z = 266.26  
X = 26.21    Z = 266.23  
X = 26.14    Z = 266.115 
X = 26.07    Z = 266.035 
X = 25.995   Z = 266.02  
X = 25.92    Z = 265.995 
X = 25.845   Z = 265.965 
X = 25.77    Z = 265.95  
X = 25.69    Z = 265.95  
X = 25.615   Z = 265.955 
X = 25.535   Z = 265.99  
X = 25.455   Z = 266.005 
X = 25.38    Z = 265.94  
X = 25.315   Z = 265.855 
X = 25.24    Z = 265.82  
X = 25.16    Z = 265.835 
X = 25.08    Z = 265.865 
X = 25       Z = 265.885 
X = 24.925   Z = 265.875 
X = 24.845   Z = 265.855 
X = 24.77    Z = 265.88  
X = 24.685   Z = 265.915 
X = 24.61    Z = 265.915 
X = 24.54    Z = 265.84  
X = 24.47    Z = 265.775 
X = 24.395   Z = 265.77  
X = 24.32    Z = 265.74  
X = 24.245   Z = 265.685 
X = 24.17    Z = 265.68  
X = 24.09    Z = 265.74  
X = 24.01    Z = 265.76  
X = 23.935   Z = 265.745 
X = 23.86    Z = 265.695 
X = 23.795   Z = 265.615 
X = 23.715   Z = 265.625 
X = 23.645   Z = 265.57  
X = 23.575   Z = 265.505 
X = 23.495   Z = 265.505 
X = 23.42    Z = 265.505 
X = 23.34    Z = 265.53  
X = 23.265   Z = 265.545 
X = 23.185   Z = 265.56  
X = 23.105   Z = 265.57  
X = 23.03    Z = 265.55  
X = 22.96    Z = 265.495 
X = 22.89    Z = 265.425 
X = 22.82    Z = 265.35  
X = 22.745   Z = 265.295 
X = 22.67    Z = 265.275 
X = 22.595   Z = 265.265 
X = 22.525   Z = 265.23  
X = 22.445   Z = 265.265 
X = 22.36    Z = 265.315 
X = 22.285   Z = 265.285 
X = 22.215   Z = 265.255 
X = 22.135   Z = 265.275 
X = 22.055   Z = 265.295 
X = 21.98    Z = 265.3   
X = 21.905   Z = 265.265 
X = 21.825   Z = 265.295 
X = 21.745   Z = 265.325 
X = 21.675   Z = 265.26  
X = 21.605   Z = 265.175 
X = 21.53    Z = 265.12  
X = 21.455   Z = 265.135 
X = 21.38    Z = 265.135 
X = 21.305   Z = 265.085 
X = 21.235   Z = 264.995 
X = 21.16    Z = 264.98  
X = 21.08    Z = 265     
X = 21.005   Z = 265.005 
